Country,Metric,Year,Score
Netherlands,Trust in the news media,2021,5.0
Netherlands,Trust in the news media,2022,4.7
Netherlands,Trust in the news media,2023,4.9
Netherlands,Trust in the news media,2024,4.2
Netherlands,Trust in the police,2021,6.3
Netherlands,Trust in the police,2022,5.9
Netherlands,Trust in the police,2023,6.5
Netherlands,Trust in the police,2024,6.2
Poland,Trust in country's government,2021,2.1
Poland,Trust in country's government,2022,2.0
Poland,Trust in country's government,2023,2.2
Poland,Trust in country's government,2024,4.2
Poland,Trust in people,2021,4.4
Poland,Trust in people,2022,4.5
Poland,Trust in people,2023,5.0
Poland,Trust in people,2024,4.3
Poland,Trust in pharmaceutical firms,2021,4.0
Poland,Trust in pharmaceutical firms,2022,4.0
Poland,Trust in science,2021,5.9
Poland,Trust in science,2022,6.6
Poland,Trust in social media,2021,4.1
Poland,Trust in social media,2022,3.9
Poland,Trust in social media,2023,3.7
Poland,Trust in social media,2024,3.6
Poland,Trust in the European Union,2021,5.2
Poland,Trust in the European Union,2022,5.4
Poland,Trust in the European Union,2023,6.0
Poland,Trust in the European Union,2024,5.2
Poland,Trust in the healthcare system,2021,4.1
Poland,Trust in the healthcare system,2022,4.6
Poland,Trust in the healthcare system,2023,4.6
Poland,Trust in the healthcare system,2024,5.0
Poland,Trust in the news media,2021,3.9
Poland,Trust in the news media,2022,3.5
Poland,Trust in the news media,2023,3.9
Poland,Trust in the news media,2024,4.0
Poland,Trust in the police,2021,3.9
Poland,Trust in the police,2022,4.3
Poland,Trust in the police,2023,4.7
Poland,Trust in the police,2024,4.8
Portugal,Trust in country's government,2021,5.0
Portugal,Trust in country's government,2022,4.6
Portugal,Trust in country's government,2023,4.2
Portugal,Trust in country's government,2024,4.1
Portugal,Trust in people,2021,4.5
Portugal,Trust in people,2022,4.9
Portugal,Trust in people,2023,5.1
Portugal,Trust in people,2024,5.1
Portugal,Trust in pharmaceutical firms,2021,5.6
Portugal,Trust in pharmaceutical firms,2022,5.1
Portugal,Trust in science,2021,8.2
Portugal,Trust in science,2022,7.9
Portugal,Trust in social media,2021,3.3
Portugal,Trust in social media,2022,3.3
Portugal,Trust in social media,2023,3.1
Portugal,Trust in social media,2024,2.8
Portugal,Trust in the European Union,2021,6.0
Portugal,Trust in the European Union,2022,5.5
Portugal,Trust in the European Union,2023,5.8
Portugal,Trust in the European Union,2024,5.3
Portugal,Trust in the healthcare system,2021,6.6
Portugal,Trust in the healthcare system,2022,6.1
Portugal,Trust in the healthcare system,2023,6.1
Portugal,Trust in the healthcare system,2024,6.2
Portugal,Trust in the news media,2021,4.7
Portugal,Trust in the news media,2022,4.6
Portugal,Trust in the news media,2023,4.3
Portugal,Trust in the news media,2024,4.2
Portugal,Trust in the police,2021,6.8
Portugal,Trust in the police,2022,6.6
Portugal,Trust in the police,2023,6.7
Portugal,Trust in the police,2024,6.6
Romania,Trust in country's government,2021,3.3
Romania,Trust in country's government,2022,3.0
Romania,Trust in country's government,2023,2.8
Romania,Trust in country's government,2024,2.5
Romania,Trust in people,2021,5.0
Romania,Trust in people,2022,5.0
Romania,Trust in people,2023,4.7
Romania,Trust in people,2024,4.6
Romania,Trust in pharmaceutical firms,2021,4.8
Romania,Trust in pharmaceutical firms,2022,4.7
Romania,Trust in science,2021,7.8
Romania,Trust in science,2022,7.9
Romania,Trust in social media,2021,4.1
Romania,Trust in social media,2022,4.0
Romania,Trust in social media,2023,3.8
Romania,Trust in social media,2024,3.7
Romania,Trust in the European Union,2021,5.2
Romania,Trust in the European Union,2022,5.5
Romania,Trust in the European Union,2023,5.3
Romania,Trust in the European Union,2024,5.0
Romania,Trust in the healthcare system,2021,4.4
Romania,Trust in the healthcare system,2022,4.8
Romania,Trust in the healthcare system,2023,5.0
Romania,Trust in the healthcare system,2024,4.6
Romania,Trust in the news media,2021,4.2
Romania,Trust in the news media,2022,4.0
Romania,Trust in the news media,2023,3.7
Romania,Trust in the news media,2024,3.3
Romania,Trust in the police,2021,4.5
Romania,Trust in the police,2022,4.4
Romania,Trust in the police,2023,4.9
Romania,Trust in the police,2024,4.8
Sweden,Trust in country's government,2021,5.1
Sweden,Trust in country's government,2022,5.0
Sweden,Trust in country's government,2023,5.9
Sweden,Trust in country's government,2024,5.5
Sweden,Trust in people,2021,5.5
Sweden,Trust in people,2022,5.9
Sweden,Trust in people,2023,6.2
Sweden,Trust in people,2024,5.5
Sweden,Trust in pharmaceutical firms,2021,6.0
Sweden,Trust in pharmaceutical firms,2022,5.4
Sweden,Trust in science,2021,8.2
Sweden,Trust in science,2022,7.8
Sweden,Trust in social media,2021,3.5
Sweden,Trust in social media,2022,3.6
Sweden,Trust in social media,2023,3.3
Sweden,Trust in social media,2024,2.9
Sweden,Trust in the European Union,2021,5.0
Sweden,Trust in the European Union,2022,4.8
Sweden,Trust in the European Union,2023,5.3
Sweden,Trust in the European Union,2024,4.7
Sweden,Trust in the healthcare system,2021,7.1
Sweden,Trust in the healthcare system,2022,6.5
Sweden,Trust in the healthcare system,2023,6.4
Sweden,Trust in the healthcare system,2024,5.9
Sweden,Trust in the news media,2021,5.4
Sweden,Trust in the news media,2022,5.3
Sweden,Trust in the news media,2023,5.3
Sweden,Trust in the news media,2024,4.8
Sweden,Trust in the police,2021,7.3
Sweden,Trust in the police,2022,7.0
Sweden,Trust in the police,2023,6.7
Sweden,Trust in the police,2024,6.7
Slovenia,Trust in country's government,2021,3.0
Slovenia,Trust in country's government,2022,3.0
Slovenia,Trust in country's government,2023,4.4
Slovenia,Trust in country's government,2024,3.5
Slovenia,Trust in people,2021,5.3
Slovenia,Trust in people,2022,5.1
Slovenia,Trust in people,2023,5.0
Slovenia,Trust in people,2024,4.4
Slovenia,Trust in pharmaceutical firms,2021,4.2
Slovenia,Trust in pharmaceutical firms,2022,4.0
Slovenia,Trust in science,2021,7.2
Slovenia,Trust in science,2022,6.9
Slovenia,Trust in social media,2021,3.3
Slovenia,Trust in social media,2022,3.1
Slovenia,Trust in social media,2023,3.1
Slovenia,Trust in social media,2024,3.0
Slovenia,Trust in the European Union,2021,4.7
Slovenia,Trust in the European Union,2022,4.2
Slovenia,Trust in the European Union,2023,4.4
Slovenia,Trust in the European Union,2024,3.9
Slovenia,Trust in the healthcare system,2021,5.9
Slovenia,Trust in the healthcare system,2022,5.5
Slovenia,Trust in the healthcare system,2023,5.4
Slovenia,Trust in the healthcare system,2024,5.4
Slovenia,Trust in the news media,2021,4.5
Slovenia,Trust in the news media,2022,3.7
Slovenia,Trust in the news media,2023,3.7
Slovenia,Trust in the news media,2024,3.7
Slovenia,Trust in the police,2021,5.1
Slovenia,Trust in the police,2022,5.1
Slovenia,Trust in the police,2023,5.9
Slovenia,Trust in the police,2024,5.9
Slovakia,Trust in country's government,2021,3.0
Slovakia,Trust in country's government,2022,3.1
Slovakia,Trust in country's government,2023,2.8
Slovakia,Trust in country's government,2024,3.3
Slovakia,Trust in people,2021,4.1
Slovakia,Trust in people,2022,3.9
Slovakia,Trust in people,2023,4.5
Slovakia,Trust in people,2024,4.5
Slovakia,Trust in pharmaceutical firms,2021,4.3
Slovakia,Trust in pharmaceutical firms,2022,4.3
Slovakia,Trust in science,2021,6.9
Slovakia,Trust in science,2022,6.9
Slovakia,Trust in social media,2021,3.2
Slovakia,Trust in social media,2022,3.1
Slovakia,Trust in social media,2023,3.1
Slovakia,Trust in social media,2024,3.3
Slovakia,Trust in the European Union,2021,4.1
Slovakia,Trust in the European Union,2022,4.0
Slovakia,Trust in the European Union,2023,4.5
Slovakia,Trust in the European Union,2024,4.9
Slovakia,Trust in the healthcare system,2021,4.8
Slovakia,Trust in the healthcare system,2022,5.1
Slovakia,Trust in the healthcare system,2023,5.0
Slovakia,Trust in the healthcare system,2024,5.4
Slovakia,Trust in the news media,2021,3.7
Slovakia,Trust in the news media,2022,3.4
Slovakia,Trust in the news media,2023,3.6
Slovakia,Trust in the news media,2024,4.0
Slovakia,Trust in the police,2021,4.6
Slovakia,Trust in the police,2022,4.7
Slovakia,Trust in the police,2023,5.2
Slovakia,Trust in the police,2024,5.0
