title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Easing the temporary and flexible hiring of workers in agriculture,Spain,04/07/2020,Smoothing frictions or reallocation of workers,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-15_655.html
Deferral of all April monthly tax statements for SMEs and self-employed,Spain,04/14/2020,Deferral of payments or liabilities,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-16_656.html
Three months' suspension of eligibility criteria for long-term unemployment benefit holders,Denmark,03/09/2020,Income support for unemployed,07/19/2021,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-11_660.html
Anti-crisis shield: Deferral of social security contributions for self-employed and micro companies,Poland,04/01/2020,Direct subsidies (full or partial) or damage compensation,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_662.html
ALTUM Working capital loan,Latvia,03/25/2020,Access to finance,10/07/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-13_663.html
Measures supporting solo self-employed and freelancers,Poland,04/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_664.html
Transfer of personnel to companies within the same group,Greece,03/20/2020,Transfer or redeployment of workers ,05/27/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_665.html
Operation of businesses with safe operation staff,Greece,03/20/2020,Mobilisation of a larger workforce,05/17/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_666.html
Suspension of employment contracts,Greece,03/20/2020,Flexibilisation and security,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_667.html
Employers authorised to unilaterally switch to teleworking,Greece,03/11/2020,"Teleworking arrangements, remote working",02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_668.html
Payment of Easter bonus may be deferred by companies affected by the pandemic,Greece,03/30/2020,Wage flexibility ,05/27/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_669.html
"State income benefit to support freelancers, self-employed and sole proprietors",Greece,03/15/2020,Extensions of income support to workers not covered by any kind of protection scheme,08/12/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_670.html
Training voucher of €600 for specific professionals,Greece,04/09/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",09/28/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-15_671.html
New loans through the entrepreneurship fund of the Hellenic development Bank,Greece,03/18/2020,Access to finance,11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_674.html
Subsidy of interest costs for performing loans,Greece,04/15/2020,Direct subsidies (full or partial) or damage compensation,11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-16_675.html
Repayable state cash advance aid scheme for companies with less than 500 employees,Greece,04/03/2020,Access to finance,08/09/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_676.html
VAT reduction from 24% to 6% for products needed to protect against COVID-19,Greece,03/20/2020,Direct subsidies (full or partial) or damage compensation,09/28/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_677.html
e-prescriptions and delivery of pharmaceutical products to patients via courier,Greece,03/23/2020,Access to healthcare,09/28/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-13_679.html
Shelter in Athens to open for the homeless,Greece,04/08/2020,Protection of vulnerable groups (beyond employment support),09/28/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-15_680.html
Additional housing allowance scheme,Greece,03/20/2020,Keeping or obtaining a safe home,07/30/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_681.html
Strengthening municipal social policy and solidarity: Help at home programme,Greece,03/17/2020,Provision of services in kind (e.g. food vouchers),10/13/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_682.html
 Athens home care programme for people in need,Greece,04/01/2020,Provision of services in kind (e.g. food vouchers),05/27/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_683.html
ALTUM Loan Holidays Guarantee,Latvia,03/25/2020,Deferral of payments or liabilities,11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-13_686.html
Workers belonging to the COVID-19 risk group may abstain from work,Greece,03/12/2020,Paid sick leave,11/27/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_689.html
Organisation of work in the public sector,Greece,03/19/2020,Changes of working hours or work arrangements,05/27/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_690.html
Special purpose leave for working parents,Greece,03/11/2020,Support for parents and carers (financial or in kind),11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_691.html
"Lifting of overtime work restrictions, extension of working hours during Sundays and leave for specific businesses",Greece,03/14/2020,"Change of work arrangements (working time, rota schemes)",05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_692.html
Distance learning introduced for public training programmes ,Greece,03/14/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_693.html
Extension of expired or expiring unemployment benefit payments ,Greece,03/20/2020,Income support for unemployed,05/04/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_694.html
Financial support for suspended and dismissed employees,Greece,03/20/2020,Income support for unemployed,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_695.html
Prohibition of dismissal of employees,Greece,03/20/2020,Flexibilisation and security,07/21/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_696.html
Extraordinary financial support to personnel of public health and civil protection institutions,Greece,03/30/2020,Remuneration and rewards for workers in essential services,05/04/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_697.html
State pays part of the Easter bonus for employees with suspended employment contracts,Greece,03/30/2020,"Income support for people in employment (e.g., short-time work)",07/12/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_698.html
Governmental GBP 500 million fund for council tax relief for people in need,United Kingdom,03/11/2020,Preventing over-indebtedness,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/GB-2020-11_699.html
More active labour market policy,Sweden,03/30/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/22/2021,https://static.eurofound.europa.eu/covid19db/cases/SE-2020-14_702.html
More places and more distance learning at higher education institutions for unemployed,Sweden,03/30/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/SE-2020-14_703.html
More opportunities for VET,Sweden,03/30/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",08/07/2020,https://static.eurofound.europa.eu/covid19db/cases/SE-2020-14_704.html
Removal of income ceiling for student aid to facilitate work in essential services,Sweden,01/01/2020,Mobilisation of a larger workforce,07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/SE-2020-1_705.html
Rent freeze and contract termination ban for businesses in specific sectors,Hungary,03/19/2020,Direct subsidies (full or partial) or damage compensation,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/HU-2020-12_706.html
Support scheme for artists with different types of income,Denmark,03/09/2020,Extensions of income support to workers not covered by any kind of protection scheme,01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-11_707.html
Hackathon contest leads to the production of Shield48 face shields,Latvia,03/21/2020,Change of production/Innovation,05/07/2020,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-12_708.html
Income support for employees engaged in R+D activities,Hungary,04/15/2020,Remuneration and rewards for workers in essential services,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2020-16_709.html
Mandatory contribution to COVID-19 defence fund from banking and retail sectors,Hungary,05/01/2020,"Support for spending, stimulus packages",06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2020-18_710.html
Bonus for hospital staff,France,05/01/2020,Remuneration and rewards for workers in essential services,05/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-18_711.html
Subsidy for home offices - IT infrastructure,Austria,03/01/2020,"Teleworking arrangements, remote working",01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_712.html
HR partnership between McDonald's and ALDI,Germany,03/20/2020,Smoothing frictions or reallocation of workers,05/12/2021,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-12_713.html
Temporary exemption from pension reduction for health professionals,Norway,03/17/2020,Mobilisation of a larger workforce,10/18/2021,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-12_714.html
Collective agreement on short-time working in system catering,Germany,03/27/2020,"Income support for people in employment (e.g., short-time work)",08/12/2021,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_715.html
Temporary reversal of corporate deficit,Norway,03/27/2020,Deferral of payments or liabilities,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-13_716.html
Interest-free student loans,Hungary,05/01/2020,Preventing over-indebtedness,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/HU-2020-18_717.html
Temporary cancellation of the air passenger tax,Norway,01/01/2020,Direct subsidies (full or partial) or damage compensation,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-1_718.html
Temporary amendment to the regulation of layoffs,Norway,03/20/2020,Direct subsidies (full or partial) or damage compensation,05/30/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-12_720.html
Guide to the COVID-19 'Job-VET-model',Denmark,03/27/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-13_721.html
Working time banking period raised in the pandemic situation,Hungary,04/25/2020,Working time flexibility,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/HU-2020-17_722.html
Temporary prolongation of the payment period during layoff,Norway,03/27/2020,Extensions of income support to workers not covered by any kind of protection scheme,05/04/2021,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-13_723.html
Temporary income assurance scheme for self-employed and freelancers,Norway,03/30/2020,Extensions of income support to workers not covered by any kind of protection scheme,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-14_724.html
Reduction of employer's responsibility for funding sick leave to three days if illness is COVID-19-related,Norway,03/16/2020,Paid sick leave,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-12_726.html
State guarantee scheme for loans to businesses,Norway,03/27/2020,Access to finance,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-13_727.html
State loan guarantee for airlines,Norway,03/31/2020,Access to finance,10/19/2021,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-14_728.html
Restoration of the Government Bond Fund,Norway,03/27/2020,Access to finance,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-13_729.html
Business Compensation Scheme,Norway,03/01/2020,Direct subsidies (full or partial) or damage compensation,01/18/2021,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-10_730.html
Baden-Württemberg: Emergency aid for businesses with up to 50 employees,Germany,03/25/2020,Direct subsidies (full or partial) or damage compensation,05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_736.html
Hardship fund for SMEs - Upper Austria,Austria,04/16/2020,Direct subsidies (full or partial) or damage compensation,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-16_737.html
Increased loan facilities and credit guarantees for Swedish businesses,Sweden,03/26/2020,Access to finance,07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/SE-2020-13_740.html
Extension of short-time work to new categories of workers,France,03/12/2020,"Income support for people in employment (e.g., short-time work)",01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-11_741.html
COVID-19 guide to health and safety recommendations for business continuity in construction,France,04/02/2020,Occupational health and safety,05/20/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-14_742.html
Derogation from the rules on driving time in road haulage,France,03/20/2020,"Change of work arrangements (working time, rota schemes)",05/20/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-12_743.html
Company-level agreement at Daher group to cope with COVID-19 crisis,France,03/16/2020,"Income support for people in employment (e.g., short-time work)",05/11/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-12_744.html
Agreement on the adaptation of the organisation of manufacturing services at STMictroelectronics,France,03/18/2020,"Change of work arrangements (working time, rota schemes)",05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-12_747.html
Expanding business loan guarantee scheme,Netherlands,03/17/2020,Access to finance,09/01/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_748.html
Metalworking national agreement on the organisation of work to deal with the COVID-19 epidemic,France,04/03/2020,"Income support for people in employment (e.g., short-time work)",05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-14_750.html
Interest reduction and loan payment delays for small enterprises using microcredit Qredits system,Netherlands,03/17/2020,Deferral of payments or liabilities,10/18/2021,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_752.html
Temporary guarantees for companies active in agriculture and horticulture sectors,Netherlands,03/17/2020,Access to finance,09/01/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_753.html
Schools and kindergartens open to personnel in critical society functions,Norway,03/13/2020,Mobilisation of a larger workforce,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-11_757.html
Emergency fund for tourism professionals - Bourgogne Franche-Comté Region,France,05/01/2020,Direct subsidies (full or partial) or damage compensation,05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-18_759.html
Temporary emergency measure for the preservation of jobs,Netherlands,04/05/2020,"Income support for people in employment (e.g., short-time work)",05/23/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-15_760.html
Temporary subsidy for self-employed ,Netherlands,10/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-40_761.html
Right to delay tax payments for entrepreneurs,Netherlands,03/17/2020,Deferral of payments or liabilities,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_762.html
Subsidy for entrepreneurs in affected sectors,Netherlands,03/17/2020,Direct subsidies (full or partial) or damage compensation,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_763.html
Extended right to medical leave and allowances for quarantine leave,Romania,03/21/2020,Paid sick leave,05/03/2020,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-12_767.html
Extra package of support measures for the cultural sector,Netherlands,03/27/2020,Direct subsidies (full or partial) or damage compensation,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-13_771.html
Interest-free loans for liquidity protection of entrepreneurs in the tourism sector,Croatia,05/01/2020,Access to finance,11/11/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-18_775.html
Temporary COVID-19 wage subsidy scheme,Ireland,03/26/2020,"Income support for people in employment (e.g., short-time work)",02/02/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-13_777.html
New services of Croatian Post for elderly citizens,Croatia,04/02/2020,Provision of services in kind (e.g. food vouchers),11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_779.html
Adris group management agreed to cut their salaries to avoid layoffs,Croatia,04/01/2020,Wage flexibility ,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_780.html
New compensation scheme for laid off apprentices,Norway,03/20/2020,Extensions of income support to workers not covered by any kind of protection scheme,02/04/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-12_781.html
COVID-19 pandemic unemployment payment introduced,Ireland,03/13/2020,Income support for unemployed,06/22/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-11_782.html
Increased illness benefit for COVID-19 absences,Ireland,03/13/2020,Paid sick leave,02/28/2023,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-11_783.html
Credit guarantee scheme for COVID-19 for SMEs,Ireland,04/01/2020,Access to finance,02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-14_784.html
COVID-19 recognised as a work injury,Denmark,04/22/2020,Occupational health and safety,05/30/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-17_786.html
Special Act on sickness benefits and flexible distribution of work,Denmark,02/27/2020,Paid sick leave,01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-9_787.html
Expanded monitoring of the labour market,Denmark,03/19/2020,Smoothing frictions or reallocation of workers,11/11/2021,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-12_788.html
Entrepreneur's wage (part of the company subsidy for fixed costs),Austria,04/15/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-16_789.html
SME subsidy for teleworking: Region of Styria and Chamber of Labour,Austria,03/01/2020,"Teleworking arrangements, remote working",07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_790.html
Microfinance Ireland COVID-19 business loan,Ireland,04/01/2020,Access to finance,02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-14_791.html
COVID-19 working capital loan scheme,Ireland,04/01/2020,Access to finance,02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-14_792.html
COVID-19 business financial planning grant,Ireland,04/01/2020,Direct subsidies (full or partial) or damage compensation,02/03/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-14_793.html
Business continuity voucher,Ireland,04/01/2020,Direct subsidies (full or partial) or damage compensation,01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-14_794.html
Trading online voucher scheme,Ireland,04/07/2020,Creation of platforms for businesses aimed at customer,07/07/2023,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-15_795.html
COVID-19 online retail scheme,Ireland,04/30/2020,Creation of platforms for businesses aimed at customer,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-18_796.html
Support for agriculture and agricultural industries,Norway,04/17/2020,Direct subsidies (full or partial) or damage compensation,08/06/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-16_799.html
Countercyclical capital buffer is reduced,Norway,03/13/2020,Access to finance,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/NO-2020-11_800.html
Financial shield: Micro enterprises,Poland,04/01/2020,Direct subsidies (full or partial) or damage compensation,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_804.html
Financial shield: Small and medium enterprises,Poland,04/01/2020,Direct subsidies (full or partial) or damage compensation,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_805.html
Financial shield: large enterprises,Poland,05/15/2020,Direct subsidies (full or partial) or damage compensation,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-20_806.html
Mobilisation of healthcare professionals ,Finland,03/25/2020,Mobilisation of a larger workforce,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-13_811.html
Temporary right to suspend or postpone leave requests in critical functions of society,Finland,03/17/2020,Mobilisation of a larger workforce,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-12_812.html
Permission to derogate from the obligation to obtain the employee’s consent to work overtime in critical sectors  ,Finland,03/17/2020,"Change of work arrangements (working time, rota schemes)",07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-12_814.html
Permission to derogate from working hours arrangements in critical functions,Finland,03/17/2020,"Change of work arrangements (working time, rota schemes)",07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-12_815.html
Temporary extension of notice period in case of employee resignation in critical functions of society,Finland,03/17/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-12_816.html
Increase of maximum weekly working hours,Austria,03/04/2020,"Change of work arrangements (working time, rota schemes)",07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-10_818.html
Restrictions on evictions and rent freezes for landlords,Ireland,03/27/2020,Keeping or obtaining a safe home,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-13_819.html
Suspension of the obligation of employers to pay redundancy payments,Ireland,03/13/2020,Rescue procedures in case of insolvency or adaptation of insolvency regulation,05/25/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-11_820.html
Measures to deploy a larger workforce in public healthcare and allow for the reassignment of public sector staff and teachers to other duties,Ireland,03/20/2020,Mobilisation of a larger workforce,05/19/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-12_822.html
Banks introduce measures to cushion effects of COVID-19,Ireland,03/18/2020,Access to finance,05/19/2021,https://static.eurofound.europa.eu/covid19db/cases/IE-2020-12_823.html
Renault Trucks: Solidarity agreement,France,04/14/2020,"Income support for people in employment (e.g., short-time work)",05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-16_824.html
"Social and solidarity agreement, protecting the health of the employees and the company of the PSA Group",France,03/16/2020,"Income support for people in employment (e.g., short-time work)",05/09/2020,https://static.eurofound.europa.eu/covid19db/cases/FR-2020-12_825.html
SME credit guarantee scheme (BMKB),Netherlands,03/16/2020,Access to finance,06/12/2023,https://static.eurofound.europa.eu/covid19db/cases/NL-2020-12_827.html
Recommendation for a gradual relaunch of work - focus on office routine,Austria,04/28/2020,Occupational health and safety,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-18_828.html
Office allowance for teleworkers,Belgium,03/13/2020,"Teleworking arrangements, remote working",09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-11_829.html
Sickness leave paid by state in case of COVID-19 infection,Latvia,03/21/2020,Paid sick leave,12/01/2020,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-12_831.html
Periods of isolation assimilated into work accidents in terms of economic benefits,Spain,03/12/2020,Paid sick leave,04/30/2021,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-11_832.html
Care allowances for working parents forced to provide personal daycare for young children due to school/pre-school system lockdown,Poland,03/09/2020,Support for parents and carers (financial or in kind),09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-11_833.html
Optional credit and mortgage freezes,Poland,03/16/2020,Preventing over-indebtedness,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-12_834.html
Targeted social security measures for permanent seasonal workers,Spain,02/03/2020,Direct subsidies (full or partial) or damage compensation,08/16/2021,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-6_835.html
Sick leave allowance for people returning from abroad and their household members under quarantine,Poland,03/15/2020,Paid sick leave,09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-12_836.html
Flexible working time arrangements and introduction of less favourable working conditions,Poland,04/01/2020,"Change of work arrangements (working time, rota schemes)",09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_837.html
Recoverable paid leave,Spain,03/30/2020,Working time flexibility,07/22/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-14_838.html
Increase in working time during the crisis period,Luxembourg,03/27/2020,"Change of work arrangements (working time, rota schemes)",07/27/2020,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-13_839.html
Automatic extension of unemployment benefits,Luxembourg,04/03/2020,Protection of vulnerable groups (beyond employment support),07/27/2020,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-14_840.html
Extension of the solidarity fund for mortgages for the purchase of the first home,Italy,03/02/2020,Keeping or obtaining a safe home,05/12/2020,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-10_842.html
Suspension of the degressivity of unemployment benefits during the crisis,Belgium,04/01/2020,Income support for unemployed,10/29/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-14_844.html
Social partners set out general guidelines for return to work,Belgium,04/23/2020,Occupational health and safety,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-17_845.html
Regional measures on the deferral or cancellation of tax and bills payments,Belgium,03/27/2020,Deferral of payments or liabilities,08/09/2021,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-13_847.html
Regional measures concerning wage guarantees and extension of subsidies deadlines,Belgium,03/13/2020,Deferral of payments or liabilities,05/19/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-11_848.html
Regional measures to prevent social hardship,Belgium,03/13/2020,Keeping or obtaining a safe home,08/09/2021,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-11_849.html
City of Vienna issues gastronomy vouchers for every household,Austria,05/13/2020,Measures to support a gradual relaunch of work,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-20_851.html
Additional support for the service voucher sector,Belgium,05/01/2020,"Income support for people in employment (e.g., short-time work)",07/17/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-18_852.html
Regional measures to help businesses stay afloat,Belgium,03/13/2020,Access to finance,09/08/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-11_853.html
Austrian armed forces 'take over' postal logistics services,Austria,05/17/2020,Smoothing frictions or reallocation of workers,07/20/2020,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-21_859.html
COVID-19 parental leave,Belgium,05/01/2020,Support for parents and carers (financial or in kind),10/29/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-18_860.html
Creating incentives for unemployed to work in horticulture and other essential services and flexibilisation of successive fixed-term contracts,Belgium,03/27/2020,Smoothing frictions or reallocation of workers,09/15/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-13_861.html
Stricter regulations for the meat industry,Germany,01/01/2021,Occupational health and safety,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2021-1_865.html
Adjustments to parental allowances,Germany,03/01/2020,Support for parents and carers (financial or in kind),11/10/2021,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-10_869.html
Compensation of income losses for parents affected by lockdowns,Germany,03/30/2020,Support for parents and carers (financial or in kind),07/18/2020,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-14_870.html
Support to self-employed - First aid Measure 2,Slovakia,04/09/2020,"Income support for people in employment (e.g., short-time work)",02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-15_872.html
Exceptional support to workers' families,Portugal,03/13/2020,Support for parents and carers (financial or in kind),02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-11_874.html
New minimum living income introduced,Spain,06/02/2020,Protection of vulnerable groups (beyond employment support),12/01/2020,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-23_878.html
Tripartite agreement to extend the special unemployment protection scheme associated to temporary collective redundancy or short-time work  regulation,Spain,05/13/2020,Flexibilisation and security,01/11/2021,https://static.eurofound.europa.eu/covid19db/cases/ES-2020-20_880.html
COVID-19 Response Greece initiative - community of volunteers,Greece,03/24/2019,Change of production/Innovation,07/30/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2019-13_881.html
Cyprus to pay holiday costs of infected tourists,Cyprus,07/20/2020,Other,06/29/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-30_883.html
Temporary assistance to television publishers with business problems caused by COVID-19 by reducing payments to companies,Croatia,06/28/2019,Deferral of payments or liabilities,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2019-26_885.html
SOS subsidy for people without any other income introduced,Slovakia,05/01/2020,Extensions of income support to workers not covered by any kind of protection scheme,10/11/2021,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-18_886.html
Assistance to radio broadcasters prevented from doing business due to the COVID-19,Croatia,04/01/2020,Direct subsidies (full or partial) or damage compensation,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_887.html
Combis officially implements remote work model,Croatia,06/15/2020,Changes of working hours or work arrangements,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-25_891.html
Co-financing of wages for reduced working hours (SURE implementation),Croatia,07/01/2020,"Income support for people in employment (e.g., short-time work)",08/11/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-27_893.html
